EventID,DeviceID,EventTimestamp,DeviceType,EventType,Severity,Status,Region,City,Province,ErrorCode,Description
EVT-000034,AP-OTT-026,2026-01-01 10:02:41,Access Point,ConnectivityLoss,High,Closed,Eastern,Ottawa,Ontario,NET-503,Device connectivity interrupted
EVT-000151,SWT-HAL-012,2026-01-01 12:28:11,Network Switch,Maintenance,Informational,Open,Atlantic,Halifax,Nova Scotia,MNT-100,Scheduled network maintenance activity
EVT-000009,WLS-OTT-019,2026-01-01 15:07:27,Wireless Infrastructure,PacketLoss,Warning,Closed,Eastern,Ottawa,Ontario,PKT-429,Elevated packet loss detected
EVT-000099,GTW-CAL-050,2026-01-02 03:28:39,Network Gateway,ConnectivityLoss,Critical,Closed,Western,Calgary,Alberta,NET-503,Device connectivity interrupted
EVT-000257,SWT-CAL-045,2026-01-02 04:27:18,Network Switch,ServiceInterruption,Critical,Resolved,Western,Calgary,Alberta,SVC-503,Network service interruption detected
EVT-000205,WLS-OTT-019,2026-01-02 13:44:21,Wireless Infrastructure,ConnectivityLoss,Critical,Resolved,Eastern,Ottawa,Ontario,NET-503,Device connectivity interrupted
EVT-000499,SWT-QUE-009,2026-01-02 18:36:08,Network Switch,ConfigurationChange,Informational,Investigating,Eastern,Quebec City,Quebec,CFG-101,Network device configuration was changed
EVT-000118,SRV-FRE-028,2026-01-03 10:57:47,Service Infrastructure,HighLatency,Warning,Resolved,Atlantic,Fredericton,New Brunswick,LAT-408,Network latency exceeded operational threshold
EVT-000160,SWT-QUE-003,2026-01-06 00:32:20,Network Switch,PacketLoss,High,Resolved,Eastern,Quebec City,Quebec,PKT-429,Elevated packet loss detected
EVT-000353,RTR-CAL-021,2026-01-06 00:45:53,Router,ServiceInterruption,High,Open,Western,Calgary,Alberta,SVC-503,Network service interruption detected
EVT-000361,AP-QUE-013,2026-01-06 02:29:32,Access Point,HardwareFailure,High,Closed,Eastern,Quebec City,Quebec,HW-500,Hardware component failure detected
EVT-000173,WLS-OTT-019,2026-01-06 14:32:28,Wireless Infrastructure,DeviceRecovery,Informational,Resolved,Eastern,Ottawa,Ontario,REC-200,Network device recovered and returned to service
EVT-000406,AP-VAN-034,2026-01-07 03:07:45,Access Point,PacketLoss,Warning,Investigating,Western,Vancouver,British Columbia,PKT-429,Elevated packet loss detected
EVT-000152,GTW-VAN-027,2026-01-07 08:06:45,Network Gateway,DeviceRecovery,Informational,Closed,Western,Vancouver,British Columbia,REC-200,Network device recovered and returned to service
EVT-000286,SRV-HAL-005,2026-01-08 07:15:44,Service Infrastructure,ServiceInterruption,Critical,Closed,Atlantic,Halifax,Nova Scotia,SVC-503,Network service interruption detected
EVT-000318,AP-TOR-007,2026-01-08 10:30:20,Access Point,HighLatency,Warning,Investigating,Central,Toronto,Ontario,LAT-408,Network latency exceeded operational threshold
EVT-000291,AP-TOR-007,2026-01-08 14:24:55,Access Point,HighLatency,Warning,Investigating,Central,Toronto,Ontario,LAT-408,Network latency exceeded operational threshold
EVT-000058,SWT-CAL-036,2026-01-09 02:56:11,Network Switch,HardwareFailure,Critical,Investigating,Western,Calgary,Alberta,HW-500,Hardware component failure detected
EVT-000054,SWT-OTT-004,2026-01-09 13:27:33,Network Switch,PerformanceDegradation,High,Resolved,Eastern,Ottawa,Ontario,PERF-201,Network performance degradation detected
EVT-000331,SWT-EDM-016,2026-01-09 14:37:09,Network Switch,PerformanceDegradation,High,Investigating,Western,Edmonton,Alberta,PERF-201,Network performance degradation detected
EVT-000397,GTW-FRE-010,2026-01-09 19:07:44,Network Gateway,ConfigurationChange,Warning,Open,Atlantic,Fredericton,New Brunswick,CFG-101,Network device configuration was changed
EVT-000265,RTR-OTT-008,2026-01-09 19:39:36,Router,ServiceInterruption,Critical,Resolved,Eastern,Ottawa,Ontario,SVC-503,Network service interruption detected
EVT-000374,WLS-QUE-037,2026-01-09 19:52:02,Wireless Infrastructure,ConnectivityLoss,High,Open,Eastern,Quebec City,Quebec,NET-503,Device connectivity interrupted
EVT-000139,RTR-EDM-020,2026-01-09 20:07:06,Router,ConnectivityLoss,High,Resolved,Western,Edmonton,Alberta,NET-503,Device connectivity interrupted
EVT-000322,WLS-OTT-019,2026-01-10 06:31:42,Wireless Infrastructure,ConfigurationChange,Warning,Open,Eastern,Ottawa,Ontario,CFG-101,Network device configuration was changed
EVT-000088,SRV-FRE-028,2026-01-10 18:02:04,Service Infrastructure,ConfigurationChange,Informational,Closed,Atlantic,Fredericton,New Brunswick,CFG-101,Network device configuration was changed
EVT-000228,SWT-OTT-030,2026-01-10 19:42:46,Network Switch,PerformanceDegradation,Warning,Open,Eastern,Ottawa,Ontario,PERF-201,Network performance degradation detected
EVT-000500,AP-FRE-014,2026-01-12 17:43:04,Access Point,Maintenance,Informational,Resolved,Atlantic,Fredericton,New Brunswick,MNT-100,Scheduled network maintenance activity
EVT-000226,SRV-WIN-024,2026-01-12 18:11:01,Service Infrastructure,PerformanceDegradation,High,Resolved,Central,Winnipeg,Manitoba,PERF-201,Network performance degradation detected
EVT-000096,WLS-TOR-015,2026-01-13 11:19:41,Wireless Infrastructure,PacketLoss,Warning,Investigating,Central,Toronto,Ontario,PKT-429,Elevated packet loss detected
EVT-000349,SRV-OTT-039,2026-01-14 01:19:48,Service Infrastructure,DeviceRecovery,Informational,Resolved,Eastern,Ottawa,Ontario,REC-200,Network device recovered and returned to service
EVT-000229,WLS-FRE-022,2026-01-14 07:44:47,Wireless Infrastructure,ConfigurationChange,Informational,Investigating,Atlantic,Fredericton,New Brunswick,CFG-101,Network device configuration was changed
EVT-000153,WLS-TOR-015,2026-01-14 19:43:18,Wireless Infrastructure,ServiceInterruption,Critical,Closed,Central,Toronto,Ontario,SVC-503,Network service interruption detected
EVT-000240,SRV-HAL-044,2026-01-15 06:29:29,Service Infrastructure,PerformanceDegradation,High,Closed,Atlantic,Halifax,Nova Scotia,PERF-201,Network performance degradation detected
EVT-000213,WLS-OTT-019,2026-01-15 14:55:13,Wireless Infrastructure,HighLatency,Warning,Closed,Eastern,Ottawa,Ontario,LAT-408,Network latency exceeded operational threshold
EVT-000115,RTR-EDM-020,2026-01-15 18:10:09,Router,PacketLoss,High,Investigating,Western,Edmonton,Alberta,PKT-429,Elevated packet loss detected
EVT-000167,RTR-QUE-049,2026-01-18 02:23:18,Router,Maintenance,Informational,Resolved,Eastern,Quebec City,Quebec,MNT-100,Scheduled network maintenance activity
EVT-000209,WLS-FRE-029,2026-01-18 12:03:07,Wireless Infrastructure,ConnectivityLoss,Critical,Investigating,Atlantic,Fredericton,New Brunswick,NET-503,Device connectivity interrupted
EVT-000214,GTW-FRE-010,2026-01-18 12:50:30,Network Gateway,ConfigurationChange,Warning,Resolved,Atlantic,Fredericton,New Brunswick,CFG-101,Network device configuration was changed
EVT-000163,SWT-QUE-018,2026-01-18 17:13:13,Network Switch,HardwareFailure,Critical,Closed,Eastern,Quebec City,Quebec,HW-500,Hardware component failure detected
EVT-000130,RTR-QUE-031,2026-01-19 01:39:36,Router,DeviceRecovery,Informational,Resolved,Eastern,Quebec City,Quebec,REC-200,Network device recovered and returned to service
EVT-000248,RTR-QUE-031,2026-01-19 02:29:01,Router,PerformanceDegradation,Warning,Open,Eastern,Quebec City,Quebec,PERF-201,Network performance degradation detected
EVT-000395,SWT-CAL-036,2026-01-19 18:34:06,Network Switch,ServiceInterruption,High,Investigating,Western,Calgary,Alberta,SVC-503,Network service interruption detected
EVT-000243,AP-VAN-034,2026-01-20 06:12:18,Access Point,ServiceInterruption,Critical,Closed,Western,Vancouver,British Columbia,SVC-503,Network service interruption detected
EVT-000423,AP-VAN-034,2026-01-20 10:57:22,Access Point,ConfigurationChange,Informational,Open,Western,Vancouver,British Columbia,CFG-101,Network device configuration was changed
EVT-000203,RTR-EDM-020,2026-01-21 17:02:24,Router,ConfigurationChange,Warning,Closed,Western,Edmonton,Alberta,CFG-101,Network device configuration was changed
EVT-000216,SRV-WIN-024,2026-01-22 00:55:45,Service Infrastructure,ServiceInterruption,Critical,Resolved,Central,Winnipeg,Manitoba,SVC-503,Network service interruption detected
EVT-000070,WLS-VAN-017,2026-01-22 01:11:32,Wireless Infrastructure,HardwareFailure,Critical,Open,Western,Vancouver,British Columbia,HW-500,Hardware component failure detected
EVT-000421,AP-CAL-035,2026-01-22 05:01:57,Access Point,ServiceInterruption,Critical,Investigating,Western,Calgary,Alberta,SVC-503,Network service interruption detected
EVT-000232,GTW-FRE-010,2026-01-22 08:17:38,Network Gateway,HardwareFailure,Critical,Investigating,Atlantic,Fredericton,New Brunswick,HW-500,Hardware component failure detected
EVT-000323,SWT-EDM-016,2026-01-22 12:38:06,Network Switch,PacketLoss,High,Open,Western,Edmonton,Alberta,PKT-429,Elevated packet loss detected
EVT-000008,RTR-CAL-047,2026-01-22 15:52:14,Router,PerformanceDegradation,High,Resolved,Western,Calgary,Alberta,PERF-201,Network performance degradation detected
EVT-000056,AP-VAN-048,2026-01-22 17:22:12,Access Point,DeviceRecovery,Informational,Resolved,Western,Vancouver,British Columbia,REC-200,Network device recovered and returned to service
EVT-000143,SWT-HAL-012,2026-01-23 03:41:04,Network Switch,ConnectivityLoss,Critical,Closed,Atlantic,Halifax,Nova Scotia,NET-503,Device connectivity interrupted
EVT-000050,AP-VAN-043,2026-01-23 09:56:11,Access Point,PerformanceDegradation,Warning,Resolved,Western,Vancouver,British Columbia,PERF-201,Network performance degradation detected
EVT-000220,SWT-QUE-003,2026-01-23 13:09:38,Network Switch,ConnectivityLoss,Critical,Closed,Eastern,Quebec City,Quebec,NET-503,Device connectivity interrupted
EVT-000146,WLS-QUE-037,2026-01-24 00:01:27,Wireless Infrastructure,ServiceInterruption,High,Investigating,Eastern,Quebec City,Quebec,SVC-503,Network service interruption detected
EVT-000360,RTR-HAL-011,2026-01-24 13:35:24,Router,HardwareFailure,Critical,Investigating,Atlantic,Halifax,Nova Scotia,HW-500,Hardware component failure detected
EVT-000416,RTR-QUE-031,2026-01-24 15:58:28,Router,HighLatency,High,Resolved,Eastern,Quebec City,Quebec,LAT-408,Network latency exceeded operational threshold
EVT-000250,SWT-OTT-004,2026-01-24 17:38:20,Network Switch,Maintenance,Informational,Closed,Eastern,Ottawa,Ontario,MNT-100,Scheduled network maintenance activity
EVT-000338,GTW-CAL-050,2026-01-25 04:05:44,Network Gateway,ConnectivityLoss,Critical,Resolved,Western,Calgary,Alberta,NET-503,Device connectivity interrupted
EVT-000241,RTR-FRE-006,2026-01-25 12:05:43,Router,HighLatency,Warning,Open,Atlantic,Fredericton,New Brunswick,LAT-408,Network latency exceeded operational threshold
EVT-000111,AP-QUE-013,2026-01-25 12:13:56,Access Point,ConnectivityLoss,High,Investigating,Eastern,Quebec City,Quebec,NET-503,Device connectivity interrupted
EVT-000140,SWT-OTT-004,2026-01-25 12:30:18,Network Switch,Maintenance,Informational,Closed,Eastern,Ottawa,Ontario,MNT-100,Scheduled network maintenance activity
EVT-000366,SRV-HAL-005,2026-01-25 22:04:57,Service Infrastructure,DeviceRecovery,Informational,Closed,Atlantic,Halifax,Nova Scotia,REC-200,Network device recovered and returned to service
EVT-000089,SWT-CAL-036,2026-01-26 21:24:18,Network Switch,ConfigurationChange,Informational,Closed,Western,Calgary,Alberta,CFG-101,Network device configuration was changed
